,bio_group,time_label,scenario,percent_change,sensitivity,sensitivity_negative
2051,seagrass,10 years later,AP-FlTn,-0.0050543884197007,0.06,-0.06
2052,macroalgae,10 years later,AP-FhTs,0.0672481628086085,0.06,-0.06
2053,seagrass,10 years later,AP-FhTs,-0.0050125779731402,0.06,-0.06
2054,macroalgae,10 years later,AP-FhTn,0.0523192253127025,0.06,-0.06
2055,seagrass,10 years later,AP-FhTn,-0.0049163006667463,0.06,-0.06
2056,macroalgae,10 years later,TP-FlTs,0.1194404216129596,0.06,-0.06
2057,seagrass,10 years later,TP-FlTs,-0.0391252916033257,0.06,-0.06
2058,macroalgae,10 years later,TP-FlTn,0.0904838341447611,0.06,-0.06
2059,seagrass,10 years later,TP-FlTn,-0.030957923464181,0.06,-0.06
2060,macroalgae,10 years later,TP-FhTs,0.0661463098473591,0.06,-0.06
2061,seagrass,10 years later,TP-FhTs,-0.0111119073386678,0.06,-0.06
2062,macroalgae,10 years later,TP-FhTn,0.1145005102112017,0.06,-0.06
2063,seagrass,10 years later,TP-FhTn,-0.0083210858537019,0.06,-0.06
2064,macroalgae,10 years later,EB-FlTs,0.0535941330657374,0.06,-0.06
2065,seagrass,10 years later,EB-FlTs,-0.0002362623067186,0.06,-0.06
2066,macroalgae,10 years later,EB-FlTn,0.0580707482224829,0.06,-0.06
2067,seagrass,10 years later,EB-FlTn,0.000566839964744,0.06,-0.06
2068,macroalgae,10 years later,EB-FhTs,0.0439819949084929,0.06,-0.06
2069,seagrass,10 years later,EB-FhTs,0.0028347886900537,0.06,-0.06
2070,macroalgae,10 years later,EB-FhTn,0.0212616294608336,0.06,-0.06
2071,seagrass,10 years later,EB-FhTn,0.0034850904128802,0.06,-0.06
2072,macroalgae,10 years later,JF-FlTs,0.0966718051761628,0.06,-0.06
2073,seagrass,10 years later,JF-FlTs,-0.0490069018659222,0.06,-0.06
2074,macroalgae,10 years later,JF-FlTn,0.0746129889712676,0.06,-0.06
2075,seagrass,10 years later,JF-FlTn,-0.035108539856854,0.06,-0.06
2076,macroalgae,10 years later,JF-FhTs,0.0779893737232084,0.06,-0.06
2077,seagrass,10 years later,JF-FhTs,-0.0120662623355416,0.06,-0.06
2078,macroalgae,10 years later,JF-FhTn,0.108918026249416,0.06,-0.06
2079,seagrass,10 years later,JF-FhTn,-0.016656594650688,0.06,-0.06
2080,macroalgae,20 years later,AP-FlTs,1.3340155013482846,0.06,-0.06
2081,seagrass,20 years later,AP-FlTs,-0.2858513296783882,0.06,-0.06
2082,macroalgae,20 years later,AP-FlTn,1.5814134462984295,0.06,-0.06
2083,seagrass,20 years later,AP-FlTn,-0.0506814010833411,0.06,-0.06
2084,macroalgae,20 years later,AP-FhTs,0.3325734920019529,0.06,-0.06
2085,seagrass,20 years later,AP-FhTs,-0.7960788533160734,0.06,-0.06
2086,macroalgae,20 years later,AP-FhTn,0.931469334026458,0.06,-0.06
2087,seagrass,20 years later,AP-FhTn,-0.2632313872492631,0.06,-0.06
2088,macroalgae,20 years later,TP-FlTs,1.599610824335418,0.06,-0.06
2089,seagrass,20 years later,TP-FlTs,-0.2802217845384813,0.06,-0.06
2090,macroalgae,20 years later,TP-FlTn,1.1370508789698697,0.06,-0.06
2091,seagrass,20 years later,TP-FlTn,-0.4699960323466534,0.06,-0.06
2092,macroalgae,20 years later,TP-FhTs,1.673219672717963,0.06,-0.06
2093,seagrass,20 years later,TP-FhTs,0.0130169579317218,0.06,-0.06
2094,macroalgae,20 years later,TP-FhTn,1.368379628136096,0.06,-0.06
2095,seagrass,20 years later,TP-FhTn,-0.2008639174843729,0.06,-0.06
2096,macroalgae,20 years later,EB-FlTs,0.5898761799217667,0.06,-0.06
2097,seagrass,20 years later,EB-FlTs,-0.5575289641495673,0.06,-0.06
2098,macroalgae,20 years later,EB-FlTn,0.5526501362468572,0.06,-0.06
2099,seagrass,20 years later,EB-FlTn,-1.871128604748784,0.06,-0.06
2100,macroalgae,20 years later,EB-FhTs,0.5508149457479794,0.06,-0.06
2101,seagrass,20 years later,EB-FhTs,-1.4818605813096353,0.06,-0.06
2102,macroalgae,20 years later,EB-FhTn,0.6658500381015564,0.06,-0.06
