,bio_group,time_label,scenario,percent_change,sensitivity,sensitivity_negative
182,macroalgae,spill year,EB-FlTs-smother,0.0044661939121004,0.06,-0.06
183,seagrass,spill year,EB-FlTs-smother,0.0031155990986908,0.06,-0.06
184,macroalgae,20 years later,EB-FlTs-smother,1.484001284614389,0.06,-0.06
185,seagrass,20 years later,EB-FlTs-smother,-0.2232505852751365,0.06,-0.06
186,dogfish,spill year,EB-FlTs-smother,-0.0053057111490795,0.0,-0.0
187,ratfish,spill year,EB-FlTs-smother,0.0201723303997436,0.0,-0.0
188,sixgill,spill year,EB-FlTs-smother,0.000880382045737,0.0,-0.0
189,skates,spill year,EB-FlTs-smother,-0.0104466445694539,0.0004,-0.0004
190,dogfish,20 years later,EB-FlTs-smother,-0.0788874318135246,0.0,-0.0
191,ratfish,20 years later,EB-FlTs-smother,0.0918155278154753,0.0,-0.0
192,sixgill,20 years later,EB-FlTs-smother,-0.0402506375782252,0.0,-0.0
193,skates,20 years later,EB-FlTs-smother,0.0115299125733547,0.0004,-0.0004
194,squid,spill year,EB-FlTs-smother,-0.0004352893199666,0.0,-0.0
195,squid,20 years later,EB-FlTs-smother,0.0009648829645492,0.0,-0.0
